"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 전입학생수","1학년 전출학생수","1학년 전체학생수","2학년 전입학생수","2학년 전출학생수","2학년 전체학생수","3학년 전입학생수","3학년 전출학생수","3학년 전체학생수","4학년 전입학생수","4학년 전출학생수","4학년 전체학생수","5학년 전입학생수","5학년 전출학생수","5학년 전체학생수","6학년 전입학생수","6학년 전출학생수","6학년 전체 학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","1","1","99","0","0","99","0","0","99","0","0","106","0","0","109","0","1","119","1","2","631"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","0","0","97","2","0","104","3","0","104","1","0","114","3","0","116","0","2","118","9","2","653"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","3","5","114","7","9","125","19","7","99","10","6","114","13","11","147","6","6","110","58","44","709"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","5","1","81","8","3","80","10","3","69","3","6","85","14","4","77","7","1","94","47","18","486"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","0","3","57","5","14","64","2","6","56","3","5","66","2","4","52","3","4","52","15","36","347"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","10","3","133","28","2","161","18","4","169","33","6","202","36","5","254","24","0","242","149","20","1161"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","12","6","278","32","8","298","46","3","300","43","8","406","57","11","392","45","5","371","235","41","2045"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","6","2","156","15","8","177","14","3","175","11","5","207","13","6","184","7","2","194","66","26","1093"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","4","8","155","6","13","195","9","15","162","3","11","147","4","8","158","4","5","118","30","60","935"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","9","3","57","2","9","36","7","5","51","11","7","44","8","2","58","2","4","39","39","30","285"
