,설립구분,지역,학교명,기준연도,출생년도,학년,구분,학생수
552154,공립,충청북도 청주시 흥덕구,가경초등학교,2020,08,6학년,in,1
558443,공립,충청북도 청주시 흥덕구,가경초등학교,2020,08,6학년,out,3
564732,공립,충청북도 청주시 흥덕구,가경초등학교,2020,08,6학년,ttl,57
646179,공립,충청북도 청주시 흥덕구,가경초등학교,2019,08,5학년,in,2
652444,공립,충청북도 청주시 흥덕구,가경초등학교,2019,08,5학년,out,3
658709,공립,충청북도 청주시 흥덕구,가경초등학교,2019,08,5학년,ttl,56
740018,공립,충청북도 청주시 흥덕구,가경초등학교,2018,08,4학년,in,5
746270,공립,충청북도 청주시 흥덕구,가경초등학교,2018,08,4학년,out,5
752522,공립,충청북도 청주시 흥덕구,가경초등학교,2018,08,4학년,ttl,60
833732,공립,충청북도 청주시 흥덕구,가경초등학교,2017,08,3학년,in,5
839975,공립,충청북도 청주시 흥덕구,가경초등학교,2017,08,3학년,out,3
846218,공립,충청북도 청주시 흥덕구,가경초등학교,2017,08,3학년,ttl,56
927281,공립,충청북도 청주시 흥덕구,가경초등학교,2016,08,2학년,in,2
933500,공립,충청북도 청주시 흥덕구,가경초등학교,2016,08,2학년,out,8
939719,공립,충청북도 청주시 흥덕구,가경초등학교,2016,08,2학년,ttl,60
1020550,공립,충청북도 청주시 흥덕구,가경초등학교,2015,08,1학년,in,2
1026761,공립,충청북도 청주시 흥덕구,가경초등학교,2015,08,1학년,out,4
1032972,공립,충청북도 청주시 흥덕구,가경초등학교,2015,08,1학년,ttl,67
438915,공립,충청북도 청주시 흥덕구,가경초등학교,2021,09,6학년,in,1
445224,공립,충청북도 청주시 흥덕구,가경초등학교,2021,09,6학년,out,2
451533,공립,충청북도 청주시 흥덕구,가경초등학교,2021,09,6학년,ttl,40
533287,공립,충청북도 청주시 흥덕구,가경초등학교,2020,09,5학년,in,2
539576,공립,충청북도 청주시 흥덕구,가경초등학교,2020,09,5학년,out,4
545865,공립,충청북도 청주시 흥덕구,가경초등학교,2020,09,5학년,ttl,40
627384,공립,충청북도 청주시 흥덕구,가경초등학교,2019,09,4학년,in,2
633649,공립,충청북도 청주시 흥덕구,가경초등학교,2019,09,4학년,out,3
639914,공립,충청북도 청주시 흥덕구,가경초등학교,2019,09,4학년,ttl,41
721262,공립,충청북도 청주시 흥덕구,가경초등학교,2018,09,3학년,in,1
727514,공립,충청북도 청주시 흥덕구,가경초등학교,2018,09,3학년,out,4
733766,공립,충청북도 청주시 흥덕구,가경초등학교,2018,09,3학년,ttl,45
815003,공립,충청북도 청주시 흥덕구,가경초등학교,2017,09,2학년,in,5
821246,공립,충청북도 청주시 흥덕구,가경초등학교,2017,09,2학년,out,9
827489,공립,충청북도 청주시 흥덕구,가경초등학교,2017,09,2학년,ttl,50
908624,공립,충청북도 청주시 흥덕구,가경초등학교,2016,09,1학년,in,3
914843,공립,충청북도 청주시 흥덕구,가경초등학교,2016,09,1학년,out,8
921062,공립,충청북도 청주시 흥덕구,가경초등학교,2016,09,1학년,ttl,54
325360,공립,충청북도 청주시 흥덕구,가경초등학교,2022,10,6학년,in,2
331669,공립,충청북도 청주시 흥덕구,가경초등학교,2022,10,6학년,out,2
