,학교명,위도,경도,학교도로명 주소,폐교여부
0,청주교육대학교부설초등학교,36.6173842,127.4846957,충청북도 청주시 서원구 청남로 2067,N
1,한국교원대학교부설월곡초등학교,36.6232950149,127.3623695106,충청북도 청주시 흥덕구 강내면 가로수로 562,N
2,감물초등학교,36.8391229,127.8713183,충청북도 괴산군 감물면 남양동길 38,N
3,괴산명덕초등학교,36.8093562,127.787067,충청북도 괴산군 괴산읍 읍내로4길 53,N
4,도안초등학교,36.8170627,127.6111564,충청북도 증평군 도안면 화성로 101,N
5,동인초등학교,36.805689,127.789812,충청북도 괴산군 괴산읍 읍내로2길 15-8,N
6,목도초등학교,36.8743225,127.8541492,충청북도 괴산군 불정면 목도로 42-1,N
7,문광초등학교,36.7901458452,127.783750311,충청북도 괴산군 문광면 괴산로 3446,N
8,문광초등학교덕평분교장,,,,Y
9,백봉초등학교,36.7071881,127.7271233,충청북도 괴산군 청안면 질마로 1456,N
10,보광초등학교,36.8180883,127.6498526,충청북도 괴산군 사리면 사리로 246,N
11,보광초등학교화곡분교장,,,충청북도 괴산군 사리면 모래재로 941,Y
12,삼보초등학교,36.778503,127.578829,충청북도 증평군 증평읍 삼보로 140,N
13,소수초등학교,36.8540109,127.74523,충청북도 괴산군 소수면 소수로 131,N
14,송면초등학교,36.6741623,127.8607504,충청북도 괴산군 청천면 송면2길 13,N
15,연풍초등학교,36.7630771,127.9970584,충청북도 괴산군 연풍면 중앙로 53,N
16,장연초등학교,36.8249161,127.9551834,충청북도 괴산군 장연면 미선로오가5길 1,N
17,죽리초등학교,36.753563,127.6121081,충청북도 증평군 증평읍 남하길 233,N
18,증평초등학교,36.7815754,127.5878596,충청북도 증평군 증평읍 광장로 152,N
19,청안초등학교,36.7723749,127.6391812,충청북도 괴산군 청안면 청안읍내로3길 8,N
20,청천초등학교,36.6614608,127.7374611,충청북도 괴산군 청천면 청천6길 10,N
21,추산초등학교,36.9025162,127.8170217,충청북도 괴산군 불정면 동추산길 1,Y
22,칠성초등학교,36.785598,127.862385,충청북도 괴산군 칠성면 칠성로 26,N
23,가곡초등학교,37.0268943839,128.3855597252,충청북도 단양군 가곡면 남한강로 548,N
24,가곡초등학교대곡분교장,36.9980080834,128.4270379165,충청북도 단양군 가곡면 대대길 51,N
25,가곡초등학교보발분교장,37.0295392084,128.4487679052,충청북도 단양군 가곡면 보발본동1길 17,N
26,가평초등학교,37.0729273,128.2825971,충청북도 단양군 매포읍 가평길 58,N
27,단양초등학교,36.9,128.3,충청북도 단양군 단양읍 도전2길 15,N
28,단천초등학교,36.9,128.3,충청북도 단양군 단성면 북상하리길 53,N
29,단천초등학교가산분교장,36.8,128.3,충청북도 단양군 단성면 선암계곡로 1092,Y
30,대가초등학교,37.03332,128.26259,충청북도 단양군 적성면 적성로 453,N
31,대강초등학교,36.9,128.3,충청북도 단양군 대강면 대강로 6,N
32,대강초등학교장정분교장,36.846353,128.395503,충청북도 단양군 대강면 온천로 719-7,Y
33,매포초등학교,37.0344410625,128.30168006,충청북도 단양군 매포읍 단양로 1929,N
34,별방초등학교,37.0966672,128.4156351,충청북도 단양군 영춘면 별방창원로 449,Y
35,상진초등학교,36.9792332,128.3566303,충청북도 단양군 단양읍 상진12길 17,N
36,어상천초등학교,37.1029272072,128.3580199182,충청북도 단양군 어상천면 어상천로 930,N
37,영춘초등학교,37.0804082,128.482931,충청북도 단양군 영춘면 온달평강로 63-6,N
38,관기초등학교,36.435985,127.821363,충청북도 보은군 마로면 관기송현로 109,N
39,내북초등학교,36.575803,127.6519123,충청북도 보은군 내북면 화전길 20,N
40,동광초등학교,36.4880528,127.7188023,충청북도 보은군 보은읍 동광길 26,N
41,산외초등학교,36.5526304,127.7315897,충청북도 보은군 산외면 구티1길 27,N
42,보은삼산초등학교,36.4848393,127.7167805,충청북도 보은군 보은읍 보은로 109-6,N
43,세중초등학교,36.388582,127.829475,충청북도 보은군 마로면 세중1길 2,N
44,속리초등학교,36.4709047,127.7893663,충청북도 보은군 장안면 장안2길 2,N
45,송죽초등학교,36.4,127.7,충청북도 보은군 삼승면 남부로 3927,Y
46,수정초등학교,36.535851,127.8213316,충청북도 보은군 속리산면 사내1길 125,N
47,수정초등학교삼가분교장,36.490951,127.860038,충청북도 보은군 속리산면 삼가구병길 9,Y
48,수한초등학교,36.4585296,127.7013256,충청북도 보은군 수한면 안내보은로 1022,N
49,종곡초등학교,36.501991,127.7498152,충청북도 보은군 보은읍 강신1길 12-7,N
50,탄부초등학교,36.4253032,127.7768703,충청북도 보은군 탄부면 덕동벽지길 13,N
51,판동초등학교,36.3986132275,127.7413878747,충청북도 보은군 삼승면 삼승탄부로 78-15,N
52,회남초등학교,36.4462101737,127.5797754685,충청북도 보은군 회남면 회남로 1901-1,N
53,회인초등학교,36.491649,127.59576,충청북도 보은군 회인면 회인로1길 10-8,N
54,매곡초등학교,36.192674,127.932217,충청북도 영동군 매곡면 민주지산로 3609,N
55,미봉초등학교,36.1279811241,127.7272058774,충청북도 영동군 양강면 학산영동로 495,Y
56,부용초등학교,36.1672736,127.7671265,충청북도 영동군 영동읍 학산영동로 1155,N
57,상촌초등학교,36.147649,127.911363,충청북도 영동군 상촌면 임산2길 20,N
58,심천초등학교,36.2346941,127.7249104,충청북도 영동군 심천면 심천로 52,N
59,양강초등학교,36.1458930203,127.7477223811,충청북도 영동군 양강면 학산영동로 817,N
60,양산초등학교,36.124489,127.666332,충청북도 영동군 양산면 금강로 1500,N
61,구룡초등학교,36.263959,127.827999,충청북도 영동군 용산면 용산로 366,N
62,영동초등학교,36.172676,127.779213,충청북도 영동군 영동읍 영동천2길 47,N
63,용화초등학교,36.023608,127.76585,충청북도 영동군 용화면 용화양강로 32,N
64,이수초등학교,36.178548,127.776565,충청북도 영동군 영동읍 영산로4길 9,N
65,추풍령초등학교,36.2150512,127.9965612,충청북도 영동군 추풍령면 추풍령로2길 7,N
66,학산초등학교,36.091782,127.686081,충청북도 영동군 학산면 서산동길 12-9,N
67,황간초등학교,36.2273889,127.9129645,충청북도 영동군 황간면 남성1길 25,N
68,군남초등학교,36.2781695,127.5816616,충청북도 옥천군 옥천읍 서대구일로 10,N
