,학교명,학교도로명 주소,폐교여부,new위도,new경도
0,청주교육대학교부설초등학교,충청북도 청주시 서원구 청남로 2067,N,36.6172449,127.4847407
1,한국교원대학교부설월곡초등학교,충청북도 청주시 흥덕구 강내면 가로수로 562,N,36.6223850,127.3628220
2,감물초등학교,충청북도 괴산군 감물면 남양동길 38,N,36.8391229,127.8713183
3,괴산명덕초등학교,충청북도 괴산군 괴산읍 읍내로4길 53,N,36.8093562,127.7870670
4,도안초등학교,충청북도 증평군 도안면 화성로 101,N,36.8170627,127.6111564
5,동인초등학교,충청북도 괴산군 괴산읍 읍내로2길 15-8,N,36.8058146,127.7897116
6,목도초등학교,충청북도 괴산군 불정면 목도로 42-1,N,36.8743225,127.8541492
7,문광초등학교,충청북도 괴산군 문광면 괴산로 3446,N,36.7897779,127.7833156
8,문광초등학교덕평분교장,충청북도 괴산군 청천면 송문로덕평2길 42,Y,36.7304827,127.7966318
9,백봉초등학교,충청북도 괴산군 청안면 질마로 1456,N,36.7071881,127.7271233
10,보광초등학교,충청북도 괴산군 사리면 사리로 246,N,36.8180883,127.6498526
11,보광초등학교화곡분교장,충청북도 괴산군 사리면 모래재로 941,Y,36.8004935,127.7129003
12,삼보초등학교,충청북도 증평군 증평읍 삼보로 140,N,36.7783043,127.5789173
13,소수초등학교,충청북도 괴산군 소수면 소수로 131,N,36.8544360,127.7451129
14,송면초등학교,충청북도 괴산군 청천면 송면2길 13,N,36.6742568,127.8624061
15,연풍초등학교,충청북도 괴산군 연풍면 중앙로 53,N,36.7631031,127.9970529
16,장연초등학교,충청북도 괴산군 장연면 미선로오가5길 1,N,36.8249161,127.9551834
17,죽리초등학교,충청북도 증평군 증평읍 남하길 233,N,36.7535630,127.6121081
18,증평초등학교,충청북도 증평군 증평읍 광장로 152,N,36.7815754,127.5878596
19,청안초등학교,충청북도 괴산군 청안면 청안읍내로3길 8,N,36.7723324,127.6392575
20,청천초등학교,충청북도 괴산군 청천면 청천6길 10,N,36.6614608,127.7374611
21,추산초등학교,충청북도 괴산군 불정면 동추산길 1,Y,36.9027655,127.8177012
22,칠성초등학교,충청북도 괴산군 칠성면 칠성로 26,N,36.7856299,127.8623892
23,가곡초등학교,충청북도 단양군 가곡면 남한강로 548,N,37.0271604,128.3855582
24,가곡초등학교대곡분교장,충청북도 단양군 가곡면 대대길 51,N,36.9980903,128.4269980
25,가곡초등학교보발분교장,충청북도 단양군 가곡면 보발본동1길 17,N,37.0295330,128.4487000
26,가평초등학교,충청북도 단양군 매포읍 가평길 58,N,37.0729273,128.2825971
27,단양초등학교,충청북도 단양군 단양읍 도전2길 15,N,36.9794429,128.3690250
28,단천초등학교,충청북도 단양군 단성면 북상하리길 53,N,36.9265760,128.3387380
29,단천초등학교가산분교장,충청북도 단양군 단성면 선암계곡로 1092,Y,36.8933094,128.3055166
30,대가초등학교,충청북도 단양군 적성면 적성로 453,N,37.0331491,128.2627627
31,대강초등학교,충청북도 단양군 대강면 대강로 6,N,36.9222605,128.3584427
32,대강초등학교장정분교장,충청북도 단양군 대강면 온천로 719-7,Y,36.8466320,128.3952630
33,매포초등학교,충청북도 단양군 매포읍 단양로 1929,N,37.0342246,128.3015840
34,별방초등학교,충청북도 단양군 영춘면 별방창원로 449,Y,37.0963571,128.4158125
35,상진초등학교,충청북도 단양군 단양읍 상진12길 17,N,36.9792332,128.3566303
36,어상천초등학교,충청북도 단양군 어상천면 어상천로 930,N,37.1029171,128.3580765
37,영춘초등학교,충청북도 단양군 영춘면 온달평강로 63-6,N,37.0804333,128.4829125
38,관기초등학교,충청북도 보은군 마로면 관기송현로 109,N,36.4359850,127.8213630
39,내북초등학교,충청북도 보은군 내북면 화전길 20,N,36.5758030,127.6519123
40,동광초등학교,충청북도 보은군 보은읍 동광길 26,N,36.4880528,127.7188023
41,산외초등학교,충청북도 보은군 산외면 구티1길 27,N,36.5526304,127.7315897
42,보은삼산초등학교,충청북도 보은군 보은읍 보은로 109-6,N,36.4848393,127.7167805
43,세중초등학교,충청북도 보은군 마로면 세중1길 2,N,36.3885771,127.8294654
44,속리초등학교,충청북도 보은군 장안면 장안2길 2,N,36.4711930,127.7893630
45,송죽초등학교,충청북도 보은군 삼승면 남부로 3927,Y,36.4379566,127.7348414
46,수정초등학교,충청북도 보은군 속리산면 사내1길 125,N,36.5358510,127.8213316
47,수정초등학교삼가분교장,충청북도 보은군 속리산면 삼가구병길 9,Y,36.4909469,127.8600488
48,수한초등학교,충청북도 보은군 수한면 안내보은로 1022,N,36.4585296,127.7013256
49,종곡초등학교,충청북도 보은군 보은읍 강신1길 12-7,N,36.5019910,127.7498152
50,탄부초등학교,충청북도 보은군 탄부면 덕동벽지길 13,N,36.4253032,127.7768703
51,판동초등학교,충청북도 보은군 삼승면 삼승탄부로 78-15,N,36.3984370,127.7417838
52,회남초등학교,충청북도 보은군 회남면 회남로 1901-1,N,36.4461740,127.5797255
53,회인초등학교,충청북도 보은군 회인면 회인로1길 10-8,N,36.4917111,127.5952023
54,매곡초등학교,충청북도 영동군 매곡면 민주지산로 3609,N,36.1924902,127.9322552
55,미봉초등학교,충청북도 영동군 양강면 학산영동로 495,Y,36.1279809,127.7272049
56,부용초등학교,충청북도 영동군 영동읍 학산영동로 1155,N,36.1673044,127.7671129
57,상촌초등학교,충청북도 영동군 상촌면 임산2길 20,N,36.1475888,127.9114027
58,심천초등학교,충청북도 영동군 심천면 심천로 52,N,36.2346941,127.7249104
59,양강초등학교,충청북도 영동군 양강면 학산영동로 817,N,36.1459305,127.7470207
60,양산초등학교,충청북도 영동군 양산면 금강로 1500,N,36.1246528,127.6663095
61,구룡초등학교,충청북도 영동군 용산면 용산로 366,N,36.2640232,127.8280515
62,영동초등학교,충청북도 영동군 영동읍 영동천2길 47,N,36.1726548,127.7792306
63,용화초등학교,충청북도 영동군 용화면 용화양강로 32,N,36.0235722,127.7658431
64,이수초등학교,충청북도 영동군 영동읍 영산로4길 9,N,36.1785346,127.7765732
65,추풍령초등학교,충청북도 영동군 추풍령면 추풍령로2길 7,N,36.2150827,127.9966188
66,학산초등학교,충청북도 영동군 학산면 서산동길 12-9,N,36.0920862,127.6859324
67,황간초등학교,충청북도 영동군 황간면 남성1길 25,N,36.2273960,127.9130288
