지역,학교명,D_i(2025),D_i_normalized(2025)
충청북도 괴산군,감물초등학교,1,0.07142857142857142
충청북도 괴산군,괴산명덕초등학교,2,0.14285714285714285
충청북도 괴산군,동인초등학교,2,0.14285714285714285
충청북도 괴산군,목도초등학교,1,0.07142857142857142
충청북도 괴산군,문광초등학교,2,0.14285714285714285
충청북도 괴산군,백봉초등학교,1,0.07142857142857142
충청북도 괴산군,보광초등학교,0,0.0
충청북도 괴산군,소수초등학교,0,0.0
충청북도 괴산군,송면초등학교,0,0.0
충청북도 괴산군,연풍초등학교,0,0.0
충청북도 괴산군,장연초등학교,0,0.0
충청북도 괴산군,청안초등학교,0,0.0
충청북도 괴산군,청천초등학교,1,0.07142857142857142
충청북도 괴산군,칠성초등학교,0,0.0
충청북도 단양군,가곡초등학교,0,0.0
충청북도 단양군,가곡초등학교대곡분교장,1,0.07692307692307693
충청북도 단양군,가곡초등학교보발분교장,1,0.07692307692307693
충청북도 단양군,가평초등학교,0,0.0
충청북도 단양군,단양초등학교,1,0.07692307692307693
충청북도 단양군,단천초등학교,1,0.07692307692307693
충청북도 단양군,대가초등학교,1,0.07692307692307693
충청북도 단양군,대강초등학교,1,0.07692307692307693
충청북도 단양군,매포초등학교,1,0.07692307692307693
충청북도 단양군,상진초등학교,1,0.07692307692307693
충청북도 단양군,어상천초등학교,0,0.0
충청북도 단양군,영춘초등학교,0,0.0
충청북도 단양군,영춘초등학교별방분교장,0,0.0
충청북도 보은군,관기초등학교,1,0.06666666666666667
충청북도 보은군,내북초등학교,0,0.0
충청북도 보은군,동광초등학교,3,0.2
충청북도 보은군,산외초등학교,0,0.0
충청북도 보은군,보은삼산초등학교,3,0.2
충청북도 보은군,세중초등학교,0,0.0
충청북도 보은군,속리초등학교,0,0.0
충청북도 보은군,수정초등학교,0,0.0
충청북도 보은군,수한초등학교,3,0.2
충청북도 보은군,종곡초등학교,2,0.13333333333333333
충청북도 보은군,탄부초등학교,3,0.2
충청북도 보은군,판동초등학교,1,0.06666666666666667
충청북도 보은군,회남초등학교,0,0.0
충청북도 보은군,회인초등학교,0,0.0
충청북도 보은군,판동초등학교송죽분교장,2,0.13333333333333333
충청북도 영동군,매곡초등학교,0,0.0
충청북도 영동군,부용초등학교,3,0.21428571428571427
충청북도 영동군,상촌초등학교,0,0.0
충청북도 영동군,심천초등학교,1,0.07142857142857142
충청북도 영동군,양강초등학교,1,0.07142857142857142
충청북도 영동군,양산초등학교,0,0.0
충청북도 영동군,구룡초등학교,0,0.0
충청북도 영동군,영동초등학교,2,0.14285714285714285
충청북도 영동군,용화초등학교,0,0.0
충청북도 영동군,이수초등학교,2,0.14285714285714285
충청북도 영동군,추풍령초등학교,0,0.0
충청북도 영동군,학산초등학교,0,0.0
충청북도 영동군,황간초등학교,0,0.0
충청북도 영동군,초강초등학교,1,0.07142857142857142
충청북도 옥천군,군남초등학교,4,0.2857142857142857
충청북도 옥천군,군서초등학교,0,0.0
충청북도 옥천군,동이초등학교,2,0.14285714285714285
충청북도 옥천군,동이초등학교우산분교장,0,0.0
충청북도 옥천군,삼양초등학교,3,0.21428571428571427
충청북도 옥천군,안남초등학교,0,0.0
충청북도 옥천군,안내초등학교,0,0.0
충청북도 옥천군,이원초등학교,0,0.0
충청북도 옥천군,죽향초등학교,3,0.21428571428571427
충청북도 옥천군,증약초등학교,0,0.0
충청북도 옥천군,증약초등학교대정분교장,0,0.0
충청북도 옥천군,청산초등학교,1,0.07142857142857142
충청북도 옥천군,청성초등학교,1,0.07142857142857142
충청북도 옥천군,장야초등학교,4,0.2857142857142857
충청북도 음성군,감곡초등학교,1,0.05
충청북도 음성군,남신초등학교,3,0.15
충청북도 음성군,대소초등학교,0,0.0
충청북도 음성군,맹동초등학교,1,0.05
충청북도 음성군,무극초등학교,1,0.05
충청북도 음성군,부윤초등학교,0,0.0
충청북도 음성군,삼성초등학교,0,0.0
충청북도 음성군,생극초등학교,0,0.0
충청북도 음성군,소이초등학교,0,0.0
충청북도 음성군,수봉초등학교,2,0.1
충청북도 음성군,쌍봉초등학교,0,0.0
충청북도 음성군,오갑초등학교,1,0.05
충청북도 음성군,오선초등학교,1,0.05
충청북도 음성군,용천초등학교,2,0.1
충청북도 음성군,원남초등학교,0,0.0
충청북도 음성군,원당초등학교,0,0.0
충청북도 음성군,청룡초등학교,0,0.0
충청북도 음성군,평곡초등학교,2,0.1
충청북도 음성군,하당초등학교,1,0.05
충청북도 음성군,동성초등학교,1,0.05
충청북도 제천시,금성초등학교,0,0.0
충청북도 제천시,남당초등학교,4,0.17391304347826086
충청북도 제천시,남천초등학교,4,0.17391304347826086
충청북도 제천시,동명초등학교,2,0.08695652173913043
충청북도 제천시,두학초등학교,0,0.0
충청북도 제천시,명지초등학교,1,0.043478260869565216
충청북도 제천시,백운초등학교,0,0.0
충청북도 제천시,봉양초등학교,0,0.0
충청북도 제천시,송학초등학교,0,0.0
충청북도 제천시,수산초등학교,0,0.0
충청북도 제천시,신백초등학교,3,0.13043478260869565
충청북도 제천시,왕미초등학교,0,0.0
충청북도 제천시,용두초등학교,2,0.08695652173913043
