,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),SCR(2025)
184,충청북도 청주시,석교초등학교,-0.12458144368858654,-0.12507408620940733,-6.0,21.0,-8.993992042219134
218,충청북도 청주시,청남초등학교,0.10164299248727542,0.008089984886734588,-6.0,21.0,-8.93154660542491
181,충청북도 청주시,서원초등학교,0.03347491964006912,-0.039793842522231705,-6.0,18.0,-7.945428373784522
133,충청북도 청주시,가경초등학교,-0.11287493153599425,-0.09239807307379737,-6.0,17.0,-7.644634642174739
157,충청북도 청주시,모충초등학교,-0.0648549390544923,-0.05847736399582291,-6.0,17.0,-7.630407181492421
147,충청북도 청주시,남평초등학교,0.07322651911731447,-0.002293096378857029,-6.0,17.0,-7.596607685887022
141,충청북도 청주시,경산초등학교,0.03665472816813054,0.037089733147519226,-6.0,17.0,-7.596228271063083
207,충청북도 청주시,원평초등학교,0.07700685431011726,0.019610770844845738,-6.0,17.0,-7.592180155858752
202,충청북도 청주시,용암초등학교,0.11960004066160364,0.00618967280907156,-6.0,17.0,-7.587042474684777
188,충청북도 청주시,수곡초등학교,-0.017685602776202795,-0.033558008403319385,-6.0,16.0,-7.282453369836294
152,충청북도 청주시,덕벌초등학교,-0.014500404398102608,-0.014184961733981344,-6.0,16.0,-7.278565086921331
220,충청북도 청주시,청주교육대학교부설초등학교,0.03090811335050554,0.006705341879357296,-6.0,16.0,-7.2670349058755255
206,충청북도 청주시,원봉초등학교,0.07882628744604177,0.001141838765149709,-6.0,16.0,-7.259615142548945
168,충청북도 청주시,분평초등학교,0.04752493208463011,0.03766434211588419,-6.0,16.0,-7.258806287984649
217,충청북도 청주시,창신초등학교,0.05613036241226376,0.034061815321796064,-6.0,16.0,-7.257921496215282
205,충청북도 청주시,운천초등학교,0.00427589848800296,-0.017771438354896623,-6.0,15.0,-6.940476613449826
225,충청북도 청주시,풍광초등학교,0.01267843308650257,0.004521668996925989,-6.0,15.0,-6.935174149342874
228,충청북도 청주시,한솔초등학교,0.0658375606829215,0.02957133889337279,-6.0,15.0,-6.9215738329925225
139,충청북도 청주시,개신초등학교,0.08658697525143544,0.011978701938897794,-6.0,15.0,-6.920971980903879
186,충청북도 청주시,성화초등학교,0.11230680005450595,0.025900899367981428,-6.0,15.0,-6.914081814868279
227,충청북도 청주시,한벌초등학교,0.09530420798713483,0.05421303372522884,-6.0,15.0,-6.912185314278485
142,충청북도 청주시,교동초등학교,-0.01870006751658128,-0.012630292324348966,-6.0,14.0,-6.6081859349027585
223,충청북도 청주시,청주대성초등학교,-0.02903075992048423,0.022006438991524657,-6.0,14.0,-6.604035522732678
143,충청북도 청주시,금천초등학교,0.0004957645509606571,-0.004934020813246075,-6.0,14.0,-6.60350685714524
164,충청북도 청주시,봉명초등학교,-0.03400993027770254,0.04105643002618666,-6.0,14.0,-6.601629992792555
171,충청북도 청주시,사직초등학교,0.004194281943879864,0.016982968369829685,-6.0,14.0,-6.599091373024262
144,충청북도 청주시,남성초등학교,0.054500973313348876,-0.004627096751635391,-6.0,14.0,-6.594013522707844
180,충청북도 청주시,서경초등학교,0.07134178853283944,0.05029147762286958,-6.0,14.0,-6.58162554258116
140,충청북도 청주시,경덕초등학교,0.11675002035958287,0.08705543496471811,-6.0,14.0,-6.567365700215064
162,충청북도 청주시,복대초등학교,-1.912934221843929,-1.417344724306993,-6.0,12.0,-6.510029270694305
183,충청북도 청주시,서현초등학교,0.008480934473872987,-0.009172902690014266,-6.0,13.0,-6.267416953195853
215,충청북도 청주시,진흥초등학교,0.08317781495695438,0.02214251751900052,-6.0,13.0,-6.248974171521591
231,충청북도 청주시,흥덕초등학교,0.13134186190723293,0.042495282726003995,-6.0,13.0,-6.23705473906735
