,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),X_i(2025),SCR(2025),폐교위험등급
16,충청북도 단양군,가곡초등학교보발분교장,2.273525201433554,1.5568427638342075,-1.632472272074563,0.4867872556492776,-0.8410284676547161,1.0241609689687339,위험
56,충청북도 옥천군,군남초등학교,0.32743856271752203,-0.20359093935012404,-1.2722188700334345,3.504224435121983,-0.670146940689214,0.8858517313544435,위험
35,충청북도 보은군,수한초등학교,0.17328207807612758,0.06688010481058224,-1.355354270504464,2.2654870667068727,-0.7677935275266438,0.8456456738758911,위험
37,충청북도 보은군,탄부초등학교,-0.06367456952361539,-0.14441192692856927,-1.355354270504464,2.2654870667068727,-0.7949175794259298,0.8375539150883865,위험
68,충청북도 옥천군,청산초등학교,1.2701017212725896,-0.4732076219671559,-1.2722188700334345,0.4073810140842063,-0.7623687171467866,0.8203901690412088,위험
31,충청북도 보은군,산외초등학교,0.9281542632009139,0.5320105642388332,-1.355354270504464,-0.6249001262617193,-0.8057672001856442,0.7334796151476284,위험
101,충청북도 제천시,수산초등학교,1.3415729385851616,0.664405154617183,-0.3992971650876227,-0.6249001262617193,-0.8030547949957155,0.7332526970304496,위험
46,충청북도 영동군,심천초등학교,0.4201594223238628,-0.06131334079006769,-1.0089567685418401,0.4073810140842063,-0.7922051742360011,0.7276113309096929,위험
36,충청북도 보은군,종곡초등학교,-0.14777610852033873,-0.09418526307089996,-1.355354270504464,1.3020246690506752,-0.7569439067669294,0.7219044841020337,위험
20,충청북도 단양군,대가초등학교,0.0732892975865685,0.6187812539070914,-1.632472272074563,0.4867872556492776,-0.7894927690460726,0.721480886550613,위험
52,충청북도 영동군,초강초등학교,0.3359281873889658,-0.18768362705596345,-1.0089567685418401,0.4073810140842063,-0.7813555534762867,0.7093663671477195,위험
15,충청북도 단양군,가곡초등학교대곡분교장,0.06507230551578812,-1.7929505228814997,-1.632472272074563,0.4867872556492776,-0.773218337906501,0.7082890241474407,위험
27,충청북도 보은군,관기초등학교,0.34069665473284627,0.179740347470641,-1.355354270504464,0.338562271394478,-0.7596563119568579,0.7054785277723664,위험
19,충청북도 단양군,단천초등학교,0.1356958565302086,0.11215468085261283,-1.632472272074563,0.4867872556492776,-0.7542315015770007,0.7025237230220459,위험
50,충청북도 영동군,용화초등학교,0.9039633671059358,0.04692452573998418,-1.0089567685418401,-0.6249001262617193,-0.7867803638561439,0.6990167052709748,주의
24,충청북도 단양군,어상천초등학교,0.6480143916379367,1.6017709729938745,-1.632472272074563,-0.6249001262617193,-0.7813555534762867,0.695409995606558,주의
47,충청북도 영동군,양강초등학교,0.37618741070184847,0.35189437878363106,-1.0089567685418401,0.4073810140842063,-0.7542315015770007,0.6938544350208009,주의
25,충청북도 단양군,영춘초등학교,0.9349281884824043,0.3376605982336953,-1.632472272074563,-0.6249001262617193,-0.7271074496777147,0.6891535733789651,주의
58,충청북도 옥천군,동이초등학교,-0.3284679923843194,-0.558178288200837,-1.2722188700334345,1.4396621544301318,-0.7298198548676433,0.6867326479206964,주의
12,충청북도 괴산군,청천초등학교,-0.02298140949239792,-0.47622516248859975,-1.8818784734876524,0.4073810140842063,-0.7433818808172863,0.6814630462749962,주의
4,충청북도 괴산군,문광초등학교,-0.3513215151679115,-0.0045359336102685655,-1.8818784734876524,1.4396621544301318,-0.683708966638857,0.6798900391877866,주의
40,충청북도 보은군,회남초등학교,0.4039218237421799,0.8556417851636883,-1.355354270504464,-0.6249001262617193,-0.8084796053755727,0.6726060263050267,주의
263,충청북도 충주시,충주예성초등학교,0.26504596569776057,0.024621077021468273,-0.08061146328200819,3.2810285128850265,-0.4965530085337834,0.6707331264789713,주의
44,충청북도 영동군,부용초등학교,0.40318159982934854,0.29977033747582515,-1.0089567685418401,2.4719432947760573,-0.4938406033438548,0.6669655464965896,주의
32,충청북도 보은군,세중초등학교,0.5088948610204087,0.3314875735773078,-1.355354270504464,-0.6249001262617193,-0.7840679586662154,0.6668940557463963,주의
34,충청북도 보은군,수정초등학교,0.7392477800077899,0.1284144725637055,-1.355354270504464,-0.6249001262617193,-0.7433818808172863,0.6640218476381852,주의
38,충청북도 보은군,판동초등학교,0.049737400076329534,0.02858422057794759,-1.355354270504464,0.338562271394478,-0.746094286007215,0.6603918977513522,주의
21,충청북도 단양군,대강초등학교,-0.22989767595682814,0.010022375923013261,-1.632472272074563,0.4867872556492776,-0.7433818808172863,0.6505152835538157,주의
66,충청북도 옥천군,증약초등학교,0.6083757290579191,0.2875230034270052,-1.2722188700334345,-0.6249001262617193,-0.7406694756273577,0.6421261276082029,주의
54,충청북도 영동군,학산초등학교,0.5739906524571606,0.1477866242546541,-1.0089567685418401,-0.6249001262617193,-0.7623687171467866,0.6411112444811036,주의
61,충청북도 옥천군,안남초등학교,0.28819713590540014,0.7646817980704146,-1.2722188700334345,-0.6249001262617193,-0.7894927690460726,0.6403221664939366,주의
57,충청북도 옥천군,군서초등학교,0.4081009818715448,0.7886272394166224,-1.2722188700334345,-0.6249001262617193,-0.7650811223367151,0.6364018929778559,주의
1,충청북도 괴산군,괴산명덕초등학교,0.5727231203242886,0.3359986265109253,-1.8818784734876524,1.4396621544301318,-0.4775661722042832,0.6361682996209201,주의
