,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소,new위도,new경도
4,충북,(구)북암초,1981,보은,초,대부,보은군 속리산면 북암리 318,36.5460738,127.7868247
144,충북,속리초 장재분교장,1982,보은,초,매각,보은군 외속리면 장재리 208,,
111,충북,산수초,1982,충주,초,매각,충주시 신니면 마수리 191-3,36.9743686,127.7467898
246,충북,한수초,1983,제천,초,매각,제천시 한수면 황강리 327,36.9536341,128.0520318
198,충북,운학초 차도분교장,1983,제천,초,매각,제천시 백운면 운학리 648,37.2282137,127.9975945
66,충북,도안초 연촌분교장,1985,괴산증평,초,매각, 증평군 도안면 연촌리 53,36.8522631,127.5827041
34,충북,금성초 황석분교장,1987,제천,초,매각,제천시 청풍면 후산리 47-2,37.0371997,128.1279343
193,충북,용산초 청화분교장,1987,영동,초,매각,영동군 용산면 미전리 431-3,36.2935909,127.8229504
35,충북,금호초 마곡분교장,1988,영동,초,매각,영동군 심천면 마곡리 885,36.1960995,127.6647544
145,충북,송계초 동산분교장,1988,제천,초,매각,제천시 한수면 송계리 1088,36.8610546,128.0564443
195,충북,용암초 도동분교장,1988,영동,초,매각,영동군 황간면 우천리 408-1,36.2294066,127.8520388
229,충북,청풍초 안암분교장,1988,제천,초,매각,제천시 금성면 성내리 산48-4,37.0281188,128.1797390
236,충북,추풍령초 계룡분교,1988,영동,초,매각,영동군 추풍령면 계룡리 452-1,36.2129454,127.9565627
149,충북,송한초 오미분교장,1988,제천,초,매각,제천시 송학면 오미리 222,37.2348757,128.1992077
255,충북,황학초 흥덕분교,1988,영동,초,매각,영동군 상촌면 흥덕리 산7-9,36.0824089,127.9401997
239,충북,칠성초 갈론분교장,1988,괴산증평,초,매각,괴산군 칠성면 사은리 102-2,36.7345315,127.8532645
59,충북,대강초 죽령분교장,1988,단양,초,매각, 단양군 대강면 용부원리 82,36.9069536,128.4217476
238,충북,추풍령초 죽전분교,1988,영동,초,매각,영동군 추풍령면 죽전리 205-1,36.2178585,128.0264450
163,충북,심천초 길현분교장,1989,영동,초,매각,영동군 심천면 길현리 578,36.2567776,127.7317655
254,충북,황간초 우매분교,1989,영동,초,매각,영동군 황간면 우매리 110,36.2604847,127.9104831
202,충북,유덕초 덕곡분교장,1989,제천,초,매각,제천시 한수면 덕곡리 120,36.9443923,128.1380057
170,충북,양산초 가선분교장,1989,영동,초,매각,영동군 양산면 가선리 152-1,36.1272711,127.6021049
231,충북,청풍초 학현분교장,1990,제천,초,자체활용,제천시 청풍면  학현리 산18-1,37.0176598,128.2198498
75,충북,매포초기동분교장,1990,단양,초,대부,단양군 적성면 기동리 433-1,36.9921879,128.2874993
251,충북,화당초 덕동분교장,1990,제천,초,매각,제천시 백운면 덕동리 252-2,37.2158285,127.9579336
151,충북,수산초 괴곡분교장,1990,제천,초,매각,제천시 수산면 원대리 137,36.9352080,128.2160244
97,충북,백운초 애련분교장,1990,제천,초,매각,제천시 백운면 애련리 198,37.1006801,128.0561554
116,충북,산척초 방대분교장,1991,충주,초,매각,충주시 산척면 명서리 158,37.0651850,128.0700036
125,충북,상촌초 대해분교장,1991,영동,초,대부,영동군 상촌면 대해리 698,36.0945933,127.9009416
126,충북,상촌초 물한분교장,1991,영동,초,자체활용,영동군 상촌면 물한리 643,36.0711982,127.8794913
100,충북,별방초 사지원분교장,1991,단양,초,매각, 단양군 영춘면 사지원리 64-1,37.1079631,128.4491851
134,충북,성암초 연곡분교장,1991,진천,초,미활용,진천군 진천읍 연곡리 191-1,36.8442086,127.3545137
56,충북,단천초 두항분교장,1991,단양,초,대부,단양군 단성면 두항리 39,36.9228568,128.2430103
93,충북,백곡초 명암분교장,1991,진천,초,매각,진천군 백곡면 명암리 213-1,36.9035596,127.3916025
146,충북,송면초 관평분교장,1991,괴산증평,초,매각,괴산군 청천면 관평리 169,36.6933819,127.9078267
87,충북,미원중 운암분교장,1991,청주,초,미활용,청주시 상당구 미원면 운암리 593,36.6027366,127.6806881
98,충북,백운초 원월분교장,1991,제천,초,매각,제천시 백운면 원월리 344-1,37.1272572,128.0126556
0,충북,  소이초 충도분교,1991,음성,초,매각,음성군 소이면 충도리 704,36.8962098,127.7294864
256,충북,회남초 법수분교장,1991,보은,초,매각,보은군 회남면 법수리 43,36.4306243,127.5350179
173,충북,양화초 동막분교장,1991,제천,초,매각,제천시 금성면 동막리 434,37.0903414,128.2245701
196,충북,용화초 자계분교장,1991,영동,초,대부,영동군 용화면 자계리 569,36.0521746,127.7461279
240,충북,칠성초 쌍곡분교장,1991,괴산증평,초,자체활용,괴산군 칠성면 쌍곡리 157,36.7439426,127.9020130
12,충북,가산초 방곡분교장,1991,단양,초,매각, 단양군 대강면 방곡리 156,36.8282267,128.3114952
15,충북,감물초 매전분교장,1991,괴산증평,초,매각,괴산군 감물면 매전리 410-1,36.8178170,127.8988950
215,충북,증약초 추소분교,1991,옥천,초,매각,옥천군 군북면 추소리 665,36.3477442,127.5547189
212,충북,죽리초 율리분교장,1991,괴산증평,초,매각, 증평군 증평읍 율리 487-1,36.7173413,127.6362543
156,충북,수안보초 미륵분교장,1992,충주,초,매각,충주시 상모면 미륵리 194,,
257,충북,회남초 분저분교장,1992,보은,초,미활용,보은군 회남면 분저리 71,36.4217080,127.5778258
76,충북,맹동초 통동분교장,1992,음성,초,매각,음성군 맹동면 통동리 235,36.8910277,127.5663944
82,충북,문의초 구룡분교장,1992,청주,초,미활용,청주시 상당구 문의면 구룡리 338,36.5021228,127.5221923
84,충북,문의초 회서분교장,1992,청주,초,매각,  청주시 상당구 문의면 마동리 81-1,36.4964853,127.5490412
88,충북,미원초 가양분교장,1992,청주,초,매각,  청주시 상당구 미원면 가양리 332,36.6618588,127.6200855
204,충북,이수초 심원분교장,1992,영동,초,매각,영동군 영동읍 심원리 351-1,36.2125516,127.8259788
200,충북,원남초 조촌분교장,1992,음성,초,매각,음성군 원남면 조촌리 549,36.8760921,127.6105332
105,충북,복성초,1992,충주,초,대부,충주시 앙성면 지당리 201-5,37.1106699,127.7232591
110,충북,북일초 청애원분교장,1992,청주,초,매각,  청주시 청원구 내수읍 원통리 산138,36.6932749,127.4982424
197,충북,용화초 조동분교장,1992,영동,초,매각,영동군 용화면 조동리 444,36.0462481,127.8149365
112,충북,산외초 산대분교장,1992,보은,초,대부,보은군 산외면 산대리 215,36.5790134,127.7157364
115,충북,산척초 명서분교장,1992,충주,초,대부,충주시 산척면 명서리 493-7,37.0708708,128.0337827
176,충북,어상천초 덕문곡분교장,1992,단양,초,대부,단양군 영춘면  덕문곡리 171,,
169,충북,양강초 산막분교장,1992,영동,초,매각,영동군 양강면 산막리 485-1,36.1202229,127.7826656
73,충북,두학초 자작분교장,1992,제천,초,대부,제천시 자작동 256-4,37.1233138,128.2861335
152,충북,수산초 단산분교장,1992,제천,초,매각,제천시 수산면 고명리 299-1,36.9576037,128.1517848
69,충북,동량초 지동분교장,1992,충주,초,매각,충주시 동량면 하천리 13-3,37.0306550,128.0601690
259,충북,회인초 회룡분교장,1992,보은,초,매각,보은군 회북면 용곡리 95-2,,
57,충북,대강초 올산분교장,1992,단양,초,대부,단양군 대강면 올산리 185,36.8375872,128.3719665
38,충북,남이초 구암분교장,1992,청주,초,자체활용,청주시 서원구 남이면 구암리 275,36.5921215,127.4102088
64,충북,덕산초 월악분교장,1992,제천,초,대부,제천시 덕산면 월악리596,36.8921452,128.1380140
33,충북,금성초 중전분교장,1992,제천,초,대부,제천시 금성면 포전리 409-2,37.0585712,128.1948821
137,충북,세성초 향산분교장,1993,충주,초,대부,충주시 살미면 향산리 379,36.9267680,127.9341259
148,충북,송학초 송한분교장,1993,제천,초,대부,제천시 송학면 송한리 543,37.2211947,128.2365962
36,충북,남당초 삼선분교장,1993,제천,초,미활용,제천시 봉양읍 삼거리 538,37.0935734,128.1500402
178,충북,어상천초연곡분교장,1993,단양,초,미활용,단양군 어상천면  연곡리 631,37.0939425,128.3226925
180,충북,연풍초 신풍분교장,1993,괴산증평,초,매각,괴산군 연풍면 원풍리 439,36.7851266,128.0154295
181,충북,영동초 화신분교장,1993,영동,초,대부,영동군 영동읍 화신리 228-3,36.1502714,127.8257564
24,충북,광덕초,1993,괴산증평,초,매각,괴산군 문광면 신기리 111,36.7772879,127.7633653
225,충북,청천초 대후분교장,1993,괴산증평,초,대부,괴산군 청천면 후영리 196-1,36.6949670,127.8041657
164,충북,안내초 대동분교장,1993,옥천,초,매각,옥천군 안내면 동대리 395-1,36.4079605,127.6684675
127,충북,상촌초 삼봉분교장,1993,영동,초,매각,영동군 상촌면 고자리 360-4,36.0897452,127.8427576
243,충북,학산초 광평분교,1993,영동,초,매각,영동군 학산면 지내리 549,36.0998377,127.6466933
10,충북,가곡초 향산분교장,1993,단양,초,매각, 단양군 가곡면 향산리 347-4,37.0606793,128.4226123
81,충북,문백초 은탄분교장,1993,진천,초,매각,진천군 문백면 은탄리 338-3,36.7817764,127.4755350
162,충북,신덕초,1994,진천,초,자체활용,진천군 진천읍 삼덕리 607-2,36.8600878,127.4780382
136,충북,세성초 살미분교장,1994,충주,초,매각,충주시 살미면 내사리 600-8,36.8970918,128.0064336
72,충북,동이초 청마분교장,1994,옥천,초,매각,옥천군 동이면 청마리 872-1,36.3051858,127.6604620
213,충북,죽향초 군북분교장,1994,옥천,초,자체활용,옥천군 군북면 소정리 245,36.3580356,127.6000499
21,충북,관기초 기대분교장,1994,보은,초,대부,보은군 마로면 기대리 328-2,36.4125988,127.8203938
140,충북,소수초 북상분교장,1994,괴산증평,초,매각,괴산군 소수면 고마리 238-3,36.8317682,127.7397948
171,충북,양산초천태분교장,1994,영동,초,대부,영동군 양산면 호탄리 708-1,36.1529833,127.6315714
258,충북,회인초 회동분교장,1994,보은,초,매각,보은군 회인면 고석리 123-1,36.5187808,127.6105173
234,충북,추산초 삼방분교장,1994,괴산증평,초,매각,괴산군 불정면 삼방리 304,36.9235809,127.7979302
