"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"교육부","교육부","충청북도 청주시 서원구","S000003528","청주교육대학교부설초등학교","02","국립","","N","부설","주간","19410328","19410328","4311210700","충청북도 청주시 서원구 수곡동","135.","","28690","충청북도 청주시 서원구 청남로 2067",", 청주교육대학교부설초등학교 (수곡동)","36.6173842","127.4846957","043-284-0861","043-284-0878","http://cje.es.kr","남녀공학","N","","N"
"교육부","교육부","충청북도 청주시 흥덕구","S000003536","한국교원대학교부설월곡초등학교","02","국립","","N","부설","주간","19430408","19430408","4311331034","충청북도 청주시 흥덕구 강내면 월곡리","230.","363892","28172","충청북도 청주시 흥덕구 강내면 가로수로 562",", 한국교원대학교부설월곡초등학교 (강내면)","36.6232950149","127.3623695106","043-280-0600","043-231-4231","http://school.cbe.go.kr/wallgok-e/M01/","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000278","감물초등학교","02","공립","","N","단설","주간","19330505","19330505","4376031021","충청북도 괴산군 감물면 오성리","81-1.","367893","28006","충청북도 괴산군 감물면 남양동길 38","(감물면)","36.8391229","127.8713183","043-833-9092","043-833-9227","http://school.cbe.go.kr/kammul-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000286","괴산명덕초등학교","02","공립","","N","단설","주간","19110901","19110901","4376025022","충청북도 괴산군 괴산읍 서부리","335.","367802","28035","충청북도 괴산군 괴산읍 읍내로4길 53",", 괴산명덕초등학교 (괴산읍)","36.8093562","127.787067","043-832-0151","043-832-0154","http://school.cbe.go.kr/gsmyungduk-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 증평군","S110000290","도안초등학교","02","공립","","N","단설","주간","19250420","19250420","4374531021","충청북도 증평군 도안면 화성리","87.","368812","27903","충청북도 증평군 도안면 화성로 101","(도안면, 도안초등학교)","36.8170627","127.6111564","043-836-8015","043-836-8920","http://school.cbe.go.kr/doan-e/M01","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000293","동인초등학교","02","공립","","N","단설","주간","19620315","19620315","4376025022","충청북도 괴산군 괴산읍 서부리  485",".","367802","28034","충청북도 괴산군 괴산읍 읍내로2길 15-8","(괴산읍)","36.805689","127.789812","043-834-0568","043-834-0572","http://school.cbe.go.kr/dongin-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000296","목도초등학교","02","공립","","N","단설","주간","19191010","19191010","4376041021","충청북도 괴산군 불정면 목도리","번지.","367911","28002","충청북도 괴산군 불정면 목도로 42-1",", 목도초등학교 (불정면)","36.8743225","127.8541492","043-833-7283","043-833-2236","http://school.cbe.go.kr/mokdo-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000297","문광초등학교","02","공립","","N","단설","주간","19360615","19360615","4376035021","충청북도 괴산군 문광면 광덕리","294번지.","367851","28057","충청북도 괴산군 문광면 괴산로 3446",", 문광초등학교 (문광면)","36.7901458452","127.783750311","043-832-2847","043-834-0396","http://school.cbe.go.kr/munkwang-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000298","문광초등학교덕평분교장","02","공립","","Y","","주간","","","4376036040","충청북도 괴산군 청천면 덕평리","280.","367842","","","","","","016-457-9247","043-833-6291","","","Y","20110228","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000300","백봉초등학교","02","공립","","N","병설","주간","19430401","19430401","4376037030","충청북도 괴산군 청안면 부흥리","428.","367834","28053","충청북도 괴산군 청안면 질마로 1456",", 백봉초등학교 (청안면)","36.7071881","127.7271233","043-832-9007","043-832-9772","school.cbe.go.kr/baekbong-e","남녀공학","N","","N"
