"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","전체학급수","전체학생수","생활안전교육 시간(단위활동차시)-1학기","생활안전교육 시간(단위활동차시)-2학기","생활안전교육 시간(단위활동차시)-합계","교통안전교육 시간(단위활동차시)-1학기","교통안전교육 시간(단위활동차시)-2학기","교통안전교육 시간(단위활동차시)-합계","폭력예방및신변보호교육 시간(단위활동차시)-1학기","폭력예방및신변보호교육 시간(단위활동차시)-2학기","폭력예방및신변보호교육 시간(단위활동차시)-합계","약물중독예방교육 시간(단위활동차시) - 1학기 (2020년 이후)","약물중독예방교육 시간(단위활동차시) - 2학기 (2020년 이후)","약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 1학기 (2023년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 2학기 (2023년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후)","재난안전교육 시간(단위활동차시)-1학기","재난안전교육 시간(단위활동차시)-2학기","재난안전교육 시간(단위활동차시)-합계","직업안전교육 시간(단위활동차시)-1학기","직업안전교육 시간(단위활동차시)-2학기","직업안전교육 시간(단위활동차시)-합계","응급처치교육 시간(단위활동차시)-1학기","응급처치교육 시간(단위활동차시)-2학기","응급처치교육 시간(단위활동차시)-합계"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","27","606","5","5","10","4","4","8","2","3","5","2","2","4","2","2","4","3","3","6","1","1","2","1","1","2"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","30","588","8","6","14","8","7","15","5","5","10","4","4","8","2","2","4","5","4","9","2","2","4","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000737","서울개원초등학교","02","공립","N","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","33","1067","6","6","12","6","5","11","5","3","8","5","5","10","1","1","2","3","3","6","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","40","646","7","7","14","5","6","11","21","21","42","15","15","30","27","27","54","18","18","36","6","6","12","9","9","18"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","32","726","6","10.1","16.1","4","9.6","13.6","4.5","5.6","10.1","4.8","6.8","11.6","2","2","4","2.8","6","8.8","1.5","1.2","2.7","1.2","1.5","2.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","13","236","6","6","12","6","5","11","4","4","8","3","3","6","2","2","4","3","3","6","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","47","1173","7.1","5.9","13","6.5","6","12.5","3.8","4.8","8.6","3.2","2.3","5.5","2.1","2.9","5","3.2","3.8","7","1","1","2","1.5","1.5","3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","62","1985","6","6","12","6","5","11","5","5","10","5","5","10","3","3","6","3","3","6","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","31","847","6","6","12","5","6.5","11.5","4","4","8","3","2","5","2","3","5","3","3.3","6.3","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","26","556","6","6","12","6","5","11","5","4","9","3","3","6","2","2","4","3","3","6","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","15","262","5","5","10","5","5","10","5","5","10","3","2","5","3","2","5","3","3","6","2","1","3","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","11","98","7","5","12","6","5","11","4","4","8","3","3","6","2","2","4","3","3","6","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","48","1461","5","5","10","5","4","9","2","1","3","2","1","3","1","1","2","2","3","5","0","0","0","1","0","1"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","32","836","5","5","10","5","5","10","5","5","10","3","2","5","2","3","5","3","3","6","2","1","3","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","36","870","6","6","12","6","5","11","4","4","8","3","3","6","3","4","7","3","3","6","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","57","1802","6","6","12","6","5","11","5","5","10","3","2","5","2","2","4","3","4","7","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","50","1365","9","3","12","6","5","11","4","4","8","3","2","5","1","1","2","2","4","6","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","33","786","10","2","12","8","3","11","3","5","8","4","2","6","3","1","4","2","4","6","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","37","961","6","6","12","6","6","12","4","4","8","5","5","10","1","1","2","3","3","6","1","1","2","1","1","2"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","13","208","6","6","12","6","5","11","6","5","11","3","2","5","3","2","5","4","2","6","1","1","2","1","1","2"
