,목록키,목록명,목록설명,조회수,분류체계,기관코드,기관명,국가중점여부,목록 수정일,목록 URL,다운로드_활용신청건수,키워드,데이터 확장자,관리 부서명
22344,15085437,한국연구재단_정책연구용역보고서,"2017~2024년의 한국연구재단 외부에서 정책연구했던 내역을 알수 있습니다.  자료제목, 소속, 주저자 및 파일명을 알 수 있습니다.",1796,과학기술 - 과학기술연구,B552540,한국연구재단,N,2024-08-19,https://www.data.go.kr/data/15085437/fileData.do,427.0,"정책,연구,연구용역",csv,정보기획팀
16150,15134996,한국연구재단_4단계 BK21 연도별 사업기간 및 사업접수 현황,"한국연구재단에서 운영하는 4단계 BK21 종합정보관리시스템 내 4단계 BK21 연도별 사업기간 및 사업접수 현황 데이터이며, 구분, 차수, 사업년도, 사업기간시작일자, 사업기간종료일자, 사업유형 수, 사업접수 승인요청 사업단 수, 사업접수 승인요청 수 등으로 구성되어있습니다.",97,과학기술 - 과학기술연구,B552540,한국연구재단,N,2024-09-06,https://www.data.go.kr/data/15134996/fileData.do,16.0,"두뇌한국 21 사업기간 및 접수,석박사급 연구인력 양성,대학원 교육 내실화 및 연구 경쟁력 강화",csv,정보기획팀
16171,15134987,한국연구재단_4단계 BK21 대학원혁신 및 제도개선 평가패널 정보,"한국연구재단에서 운영하는 4단계 BK21 종합정보관리시스템 내 대학원혁신 및 제도개선 평가패널 정보 데이터이며, 사업접수ID, 사업명, 기관코드, 기관명, 사업단ID, 사업단명, 사업분야, 지원패널분야, 등록일자 등으로 구성되어있습니다.",107,과학기술 - 과학기술연구,B552540,한국연구재단,N,2024-09-06,https://www.data.go.kr/data/15134987/fileData.do,21.0,"두뇌한국 21 대학원 제도 개선 평가,석박사급 연구인력 양성,대학원 교육 내실화 및 연구 경쟁력 강화",csv,정보기획팀
16170,15134986,한국연구재단_BK21 제도혁신 연도별 참여 기관 및 사업단 정보,"한국연구재단에서 운영하는 4단계 BK21 종합정보관리시스템 내 제도혁신 사업의 연도별 참여 기관 및 사업단 정보 데이터이며, 사업년도, 기관코드, 기관명, 사업단ID, 사업단명, 사업단팀구분, 전국지역구분, 등록일 등으로 구성되어있습니다.",50,과학기술 - 과학기술연구,B552540,한국연구재단,N,2024-09-06,https://www.data.go.kr/data/15134986/fileData.do,16.0,"두뇌한국 21 제도혁신 참여 기관,석박사급 연구인력 양성,대학원 교육 내실화 및 연구 경쟁력 강화",csv,정보기획팀
16169,15134985,한국연구재단_2단계 BK21 사업 참여기관 정보,"한국연구재단에서 운영하는 4단계 BK21 종합정보관리시스템 내 2단계 BK21 사업 참여기관 정보 데이터이며, 기관코드, 기관명, 데이터갱신일자 등으로 구성되어있습니다.",86,과학기술 - 과학기술연구,B552540,한국연구재단,N,2024-09-06,https://www.data.go.kr/data/15134985/fileData.do,19.0,"두뇌한국 21 사업 참여 기관,석박사급 연구인력 양성,대학원 교육 내실화 및 연구 경쟁력 강화",csv,정보기획팀
16168,15134984,한국연구재단_4단계 BK21 연도별 참여 신진연구인력 현황,"한국연구재단에서 운영하는 4단계 BK21 종합정보관리시스템 내 연도별 참여 신진연구인력 현황 데이터이며, 사업년도, 총 기관 수, 총 참여 신진연구인력 수, 사업유형별 참여 신진연구인력 수 (혁신인재 양성사업, 미래인재 양성사업), 사업범위별 참여 신진연구인력 수 (전국사업, 지역사업), 학위취득별 참여 신진연구인력 수 (자교 박사학위, 타교 박사학위), 직위별 참여 신진연구인력 수 (박사후연구원, 계약교수), 성별 참여 신진연구인력 수 (남성, 여성) 등으로 구성되어있습니다",59,과학기술 - 과학기술연구,B552540,한국연구재단,N,2024-09-06,https://www.data.go.kr/data/15134984/fileData.do,15.0,"두뇌한국 21 사업 참여 신진연구인력,석박사급 연구인력 양성,대학원 교육 내실화 및 연구 경쟁력 강화",csv,정보기획팀
16167,15134983,한국연구재단_4단계 BK21 연도별 참여 대학원생 현황,"한국연구재단에서 운영하는 4단계 BK21 종합정보관리시스템 내 연도별 참여 대학원생 현황 데이터이며, 사업년도, 총 기관 수, 총 참여 대학원생 수, 사업유형별 참여 대학원생 수 (혁신인재 양성사업, 미래인재 양성사업), 사업범위별 참여 대학원생 수 (전국사업, 지역사업), 학기별 참여 대학원생 수 (1학기, 2학기), 학위과정별 참여 대학원생 수 (석사 과정, 박사 과정, 석박사 통합과정, 기타 과정), 내국인구분별 참여 대학원생 수 (내국인, 외국인), 성별 참여 대학원생 수 (남성, 여성) 등으로 구성되어있습니다.",143,과학기술 - 과학기술연구,B552540,한국연구재단,N,2024-09-06,https://www.data.go.kr/data/15134983/fileData.do,26.0,"두뇌한국 21 사업 참여 대학원생,석박사급 연구인력 양성,대학원 교육 내실화 및 연구 경쟁력 강화",csv,정보기획팀
16166,15134982,한국연구재단_4단계 BK21 연도별 정산 진행 현황,"한국연구재단에서 운영하는 4단계 BK21 종합정보관리시스템 내 연도별 정산 진행 현황 데이터이며, 사업년도, 정산대상 기관 수, 정산대상 사업단, 교육연구단 작성 전, 교육연구단 작성 중, 교육연구단 작성 완료, 산업혁력단 승인, 산업협력단 반려, 회계감사 부서장 승인, 회계감사 부서장 반려, 한국연구재단 승인, 한국연구재단 반려, 정산시작일, 정산종료일 등으로 구성되어있습니다.",87,과학기술 - 과학기술연구,B552540,한국연구재단,N,2024-09-06,https://www.data.go.kr/data/15134982/fileData.do,19.0,"두뇌한국 21 사업 정산 기관,석박사급 연구인력 양성,대학원 교육 내실화 및 연구 경쟁력 강화",csv,정보기획팀
15418,15134991,한국연구재단_4단계 BK21 연도별 비목별 사업비 현황,"한국연구재단에서 운영하는 4단계 BK21 종합정보관리시스템 내 연도별 비목별 사업비 현황 데이터이며, 사업연도, 혁신인재 양성사업, 미래인재 양성사업, 대학원혁신 영역사업의 사업단 수, 협약액, 대학원생 연구장학금, 인건비, 산학협력전담 인건비, 교육과정 개발비, 연구활동 및 산학협력활동 지원비, 국제화경비, 교육연구단 운영비, 간접비 등으로 구성되어있습니다.",217,과학기술 - 과학기술연구,B552540,한국연구재단,N,2024-09-10,https://www.data.go.kr/data/15134991/fileData.do,34.0,"두뇌한국 21 사업비 정보,석박사급 연구인력 양성,대학원 교육 내실화 및 연구 경쟁력 강화",csv,정보기획팀
16165,15134981,한국연구재단_4단계 BK21 연도별 교육연구단 및 교육연구팀 현황,"한국연구재단에서 운영하는 4단계 BK21 종합정보관리시스템 내 연도별 교육연구단 교육연구팀 현황 데이터이며, 사업년도, 총 기관 수, 총 교육연구단 및 교육연구팀 수, 사업유형별 교육연구단 및 교육연구팀 수 (미래인재 양성사업), 사업유형별 교육연구단 및 교육연구팀 수 (혁신인재 양성사업), 사엄범위별 교육연구단 및 교육연구팀 수 (전국사업), 사엄범위별 교육연구단 및 교육연구팀 수 (지역사업) 등으로 구성되어있습니다.",89,과학기술 - 과학기술연구,B552540,한국연구재단,N,2024-09-06,https://www.data.go.kr/data/15134981/fileData.do,22.0,"두뇌한국 21 사업 연도별 참여 기관,석박사급 연구인력 양성,대학원 교육 내실화 및 연구 경쟁력 강화",csv,정보기획팀
