시도교육청코드,시도교육청명,행정표준코드,학교명,학년도,학기,시간표일자,학년,학급명,교시,수업내용,수정일자
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,2,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,2,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,2,3,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,2,4,바른생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,5,1,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,5,2,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,5,3,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,5,4,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,7,1,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,7,2,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,7,3,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,1,7,4,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,1,1,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,1,2,슬기로운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,1,3,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,1,4,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,10,1,바른생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,10,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,10,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,10,4,슬기로운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,2,1,슬기로운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,2,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,2,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,2,4,슬기로운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,6,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,6,2,바른생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,6,3,슬기로운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,6,4,즐거운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,9,1,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,9,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,9,3,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,2,9,4,슬기로운생활,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,1,1,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,1,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,1,3,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,1,4,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,1,5,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,2,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,2,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,2,3,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,2,4,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,2,5,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,3,1,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,3,2,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,3,3,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,3,4,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,3,5,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,4,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,4,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,4,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,4,4,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,4,5,체육,20230312
